RMS,MAV,SSI,IEMG,VAR,WL,WAMP
0.03837495437590684,0.030380953352032662,0.22089556850293976,4.557143002804899,0.0014704195898799862,1.6664603220335144,76
0.028338088769615345,0.021550021152891227,0.12045709126718991,3.2325031729336837,0.0008029748530437775,1.3267201185816093,78
0.020766463325659144,0.016592136665864357,0.06468689985839193,2.4888204998796537,0.0004304389658243327,1.1635745814261318,69
0.0188937654568943,0.01465868199364436,0.053546155971019846,2.198802299046654,0.0003564246762391359,1.1023032458019344,70
0.018728472513610057,0.014827641365091116,0.05261335240395712,2.2241462047636675,0.00035075307644193696,0.935523845785528,69
0.010624225236933706,0.008142011147942524,0.01693112428276486,1.2213016721913785,0.0001128251293362429,0.5281781236691356,67
0.007325880535214981,0.005890239938578173,0.00805027884243626,0.883535990786726,5.3575357207577646e-05,0.3974319533139816,71
0.006027504081549617,0.004887358947853005,0.005449620817964595,0.7331038421779508,3.612552783897451e-05,0.3217882035660991,71
0.006123034966564243,0.0049100731401704335,0.0056237335802652565,0.7365109710255651,3.724420691735037e-05,0.3238093017454074,76
0.005373216555820688,0.004503826390599746,0.004330718423361831,0.6755739585899618,2.8409089925485493e-05,0.2827384783113829,73
0.005324211138653952,0.004366859785888625,0.004252083637345021,0.6550289678832937,2.8108211344570824e-05,0.2747649611679328,73
0.005558435850763537,0.004175307311665374,0.004634431366058005,0.626296096749806,3.0710776072559815e-05,0.2750212586307435,72
0.006218861897971937,0.004638071589453499,0.005801136495907069,0.6957107384180248,3.828097434082171e-05,0.31419229339250704,72
0.004380689033211635,0.0034769739628623545,0.0028785654608551037,0.5215460944293532,1.8758633288897836e-05,0.2182253962885935,71
0.003229990966892185,0.002658990652613645,0.001564926246930767,0.39884859789204674,1.0289930592144277e-05,0.1670999181637225,66
0.003449353256487949,0.0028354521448733256,0.0017847056832066025,0.42531782173099886,1.1619023543519974e-05,0.16144817288628133,73
