RMS,MAV,SSI,IEMG,VAR,WL,WAMP
0.010494811927857449,0.008359847965114048,0.016521161610164845,1.2539771947671072,0.0001098728944640619,0.5126373235453986,73
0.008883079751614162,0.007165510826344764,0.011836365881030628,1.0748266239517146,7.854487469215646e-05,0.5065121134275321,80
0.008164194170345905,0.006274621476735265,0.009998109967666511,0.9411932215102898,6.66142616822805e-05,0.4094232746483589,75
0.00775039881652393,0.006054214391202969,0.009010302272276331,0.9081321586804454,5.9836260688361036e-05,0.3509888028499829,68
0.006490865815266083,0.005436442776665739,0.006319700854768476,0.8154664164998608,4.202328521773854e-05,0.35739950015146915,70
0.00550918302666386,0.004381431464110042,0.004552664643192175,0.6572147196165063,3.029752333147216e-05,0.26327499108788166,78
0.0056216429748697045,0.004242948875516859,0.004740430460535286,0.6364423313275289,3.1267976998447304e-05,0.2507483979334139,70
0.00728235366369556,0.0054110614447001526,0.007954901232471022,0.811659216705023,5.284146655899901e-05,0.35397088297872026,71
0.007393663873911798,0.005632047890001568,0.008199939822058263,0.8448071835002353,5.379839478033869e-05,0.3606428184148046,75
0.006188440146022795,0.0047947531930651885,0.0057445187161359965,0.7192129789597783,3.809015863286232e-05,0.2944680350573213,70
0.006495985287639467,0.004841098732467283,0.006329673728584262,0.7261648098700925,4.2037626205127456e-05,0.27671493696821053,80
0.006444317801146382,0.004748685983676491,0.0062293847883258206,0.7123028975514736,4.126776195051088e-05,0.30498519558732584,79
0.004433490189501266,0.0034535310835407647,0.0029483752890605962,0.5180296625311147,1.943919372867886e-05,0.23995276826463444,73
0.005115596346940006,0.004067369695704765,0.00392539889772389,0.6101054543557147,2.5701551212899167e-05,0.2905654254674669,71
0.004716388162896841,0.0036913484337640396,0.003336647595467016,0.553702265064606,2.1696887492204293e-05,0.22117059605625872,79
0.003920897609357468,0.0032225862529034616,0.0023060157094597663,0.48338793793551926,1.5158185487888007e-05,0.16573146627264712,81
0.003474042077041697,0.0028335607182833184,0.0018103452529584282,0.4250341077424978,1.1347942387730612e-05,0.15216132197107785,80
0.003518637898674456,0.002814637928759504,0.0018571218992982288,0.4221956893139256,1.217331874939216e-05,0.19591965105197068,76
0.002468629242239047,0.0019389736146456285,0.0009141195503456596,0.2908460421968443,5.911389893857729e-06,0.11651957855246929,70
