RMS,MAV,SSI,IEMG,VAR,WL,WAMP
0.011233852563524842,0.008786186119955049,0.01892991651285205,1.3179279179932575,0.00012606063757915112,0.5497797152895176,79
0.010661115278796292,0.007641019270748645,0.01704890684816756,1.1461528906122966,0.00011343151485266679,0.4800966320608501,78
0.005325203815544127,0.0039532391604692515,0.0042536693515628585,0.5929858740703877,2.8139014519573135e-05,0.24428560847277497,75
0.006553887496546222,0.005441916015604877,0.006443016197607736,0.8162874023407316,4.281095775129343e-05,0.31621993640533297,79
0.005589676086563192,0.00472529902699243,0.004686671812904461,0.7087948540488644,3.1128785352131496e-05,0.2544307704004045,76
0.005370583095232207,0.00434692553207621,0.004326474417419093,0.6520388298114315,2.8764748124901063e-05,0.26935009049141745,69
0.005072712364215334,0.004009645378261667,0.003859861609509469,0.60144680673925,2.538289239728138e-05,0.2440358160671936,72
0.0046272032581867635,0.003839854143955154,0.0032116514988861297,0.5759781215932731,2.1151882969082254e-05,0.2043869314075287,73
0.005383655582682837,0.004387687323448658,0.004347562114942812,0.6581530985172988,2.8780229047921206e-05,0.2688256458905911,83
0.004653239437005193,0.003663355996832511,0.0032478955887150617,0.5495033995248767,2.1505507607155732e-05,0.2321571528628225,73
0.0039441064684837025,0.0032364490728980094,0.0023333963752102476,0.4854673609347014,1.544818640043708e-05,0.19641236494421627,76
0.005676759767538169,0.004684719506582258,0.004833840218751001,0.7027079259873388,3.21393441170559e-05,0.28664772043311115,75
0.005351050849274288,0.004367482877855801,0.004295061778727861,0.6551224316783701,2.836703328209045e-05,0.26456445327651557,73
0.005212688963864509,0.0041570663222228734,0.004075818935099227,0.623559948333431,2.7070275219180494e-05,0.2590402567083544,72
