RMS,MAV,SSI,IEMG,VAR,WL,WAMP
0.022544417807122883,0.017335899304386785,0.07623761613931791,2.600384895658018,0.0005080543914902507,1.1651951019609559,78
0.04418865864004569,0.03291563658188309,0.29289563286097264,4.937345487282463,0.0019523858347676908,1.9412736404989852,74
0.021156274182449444,0.013555209543163903,0.06713819059244652,2.0332814314745855,0.0004468742397031475,0.8899857151187065,73
0.006782508815671858,0.005292847017962777,0.00690036387519997,0.7939270526944165,4.564828496184582e-05,0.3109704542482633,70
0.006882450647644331,0.005547440765112832,0.007105219037588981,0.8321161147669248,4.7177405277093554e-05,0.30826137211868354,75
0.00695078627740628,0.005362912586396785,0.007247014481126918,0.8044368879595178,4.8190903398306e-05,0.289293166333907,78
0.004760826410184775,0.0036908471063764833,0.003399820216186928,0.5536270659564725,2.2276037689475657e-05,0.2644992075082745,73
0.007010178692739976,0.004970964706513675,0.007371390795621833,0.7456447059770512,4.8783196315430035e-05,0.3347164375153845,72
0.0051842563629733345,0.0036499506265110795,0.004031477105554427,0.547492593976662,2.657626815328456e-05,0.22839777061987981,72
0.005620386132211396,0.0041028432513165675,0.0047383110412731275,0.6154264876974851,3.11948927619841e-05,0.26486638249844036,74
0.005539978648728673,0.004263148207109228,0.004603704514255437,0.6394722310663842,3.034685174316909e-05,0.2851190742582975,72
0.005351403370108784,0.003950638052128208,0.004295627704441748,0.5925957078192312,2.8122903364242222e-05,0.2528061265510758,74
0.004820097565889369,0.0036676128893330176,0.0034850010817038925,0.5501419333999527,2.2711312645295286e-05,0.2288675383251612,73
0.002895943280735481,0.002184730348231036,0.001257973122785547,0.3277095522346554,8.235441632944104e-06,0.13003060933936533,64
