Czas,AbsSum,Sum
10.758,0.0825628807344817,-0.0825628807344817
10.759,0.014075927057202842,-0.014075927057202842
10.76,0.04524680114670532,0.04524680114670532
10.761,0.08362731283477909,0.08362731283477909
10.762,0.09550399109905916,0.09550399109905916
10.763,0.08266855616029978,0.08266855616029978
10.764,0.053197277246297636,0.053197277246297636
10.765,0.01858253286480349,0.01858253286480349
10.766,0.00997876738073189,-0.00997876738073189
10.767,0.0249506180495207,-0.0249506180495207
10.768,0.024441276701105186,-0.024441276701105186
10.769,0.012249463014513795,-0.012249463014513795
10.77,0.003937601743393859,0.003937601743393859
10.771,0.015511858607539342,0.015511858607539342
10.772,0.016044472125565035,0.016044472125565035
10.773,0.0034840553917410144,0.0034840553917410144
10.774,0.019242854377572227,-0.019242854377572227
10.775,0.04536946228329586,-0.04536946228329586
10.776,0.06672218228522964,-0.06672218228522964
10.777,0.07659070083662856,-0.07659070083662856
10.778,0.07205660280395365,-0.07205660280395365
10.779,0.05501108448954717,-0.05501108448954717
10.78,0.03154842976697536,-0.03154842976697536
10.781,0.00996685010878684,-0.00996685010878684
10.782,0.0019404636157844823,0.0019404636157844823
10.783,0.0005915073727584819,-0.0005915073727584819
10.784,0.0177713007015321,-0.0177713007015321
10.785,0.04518072956669261,-0.04518072956669261
10.786,0.07514412806946169,-0.07514412806946169
10.787,0.09906300962511994,-0.09906300962511994
10.788,0.10995887553518457,-0.10995887553518457
10.789,0.10443855516414247,-0.10443855516414247
10.79,0.08351815454575084,-0.08351815454575084
10.791,0.05212771481207179,-0.05212771481207179
10.792,0.017535192215509365,-0.017535192215509365
10.793,0.012759739759033106,0.012759739759033106
10.794,0.03299624611700147,0.03299624611700147
10.795,0.040424187272255496,0.040424187272255496
10.796,0.035584086212087085,0.035584086212087085
10.797,0.021637708570425573,0.021637708570425573
10.798,0.0030790726581830796,0.0030790726581830796
10.799,0.01569362318196066,-0.01569362318196066
10.8,0.03148580949720714,-0.03148580949720714
10.801,0.042802645728552746,-0.042802645728552746
10.802,0.0496851442374433,-0.0496851442374433
10.803,0.05306692876492081,-0.05306692876492081
10.804,0.05397116104862154,-0.05397116104862154
10.805,0.05287881594732913,-0.05287881594732913
10.806,0.0494939031032543,-0.0494939031032543
10.807,0.04295772672792153,-0.04295772672792153
10.808,0.0323904848605312,-0.0323904848605312
10.809,0.017525138820743913,-0.017525138820743913
10.81,0.0008210736914440186,0.0008210736914440186
10.811,0.020620543460788676,0.020620543460788676
10.812,0.038908966903656195,0.038908966903656195
10.813,0.05237725198933085,0.05237725198933085
10.814,0.05810364548772884,0.05810364548772884
10.815,0.054218404202823756,0.054218404202823756
10.816,0.040331377543532554,0.040331377543532554
10.817,0.017636338619298586,0.017636338619298586
10.818,0.011299445684137877,-0.011299445684137877
10.819,0.04297812342066021,-0.04297812342066021
10.82,0.07352993831575061,-0.07352993831575061
10.821,0.0992763746282238,-0.0992763746282238
10.822,0.11721734961922436,-0.11721734961922436
10.823,0.12539809019707926,-0.12539809019707926
10.824,0.12313625054047606,-0.12313625054047606
10.825,0.11109822347041898,-0.11109822347041898
10.826,0.09121194803354193,-0.09121194803354193
10.827,0.06640522496644408,-0.06640522496644408
10.828,0.04017569268298693,-0.04017569268298693
10.829,0.016034330476423886,-0.016034330476423886
10.83,0.0030904468701766774,0.0030904468701766774
10.831,0.015364962668548365,0.015364962668548365
10.832,0.02034895582580276,0.02034895582580276
10.833,0.018986256548644276,0.018986256548644276
10.834,0.013267357121350187,0.013267357121350187
10.835,0.0056379189308812805,0.0056379189308812805
10.836,0.001689478206605477,-0.001689478206605477
