bal_acc,f1_score,precision,recall
0.1534900284900285,0.1582550076417459,0.1708008390503856,0.15418502202643172
0.16915954415954418,0.1632711792555729,0.16647339315258466,0.16740088105726872
0.19337606837606838,0.18784240508398822,0.2004242022122302,0.19383259911894274
0.23682336182336183,0.2336822484580722,0.25141669608500394,0.23788546255506607
0.16809116809116809,0.15844693699836923,0.15578141318089375,0.168141592920354
0.17913105413105412,0.17547904499995307,0.18804300403569374,0.18061674008810572
0.22115384615384615,0.2153476478070022,0.21910514953325363,0.22026431718061673
0.21189458689458687,0.21457934602834666,0.23914341974453465,0.21145374449339208
0.202991452991453,0.1948564180255163,0.19791248336334924,0.2026431718061674
0.17663817663817666,0.176070938295534,0.1813881362000831,0.17699115044247787
0.17094017094017094,0.16922308024802973,0.1779841159682883,0.17180616740088106
0.25178062678062685,0.24302464154814385,0.25591052480723736,0.2511013215859031
0.1997863247863248,0.19187741010486267,0.19845422220055461,0.19823788546255505
0.20299145299145302,0.21334986205454173,0.2543240105464775,0.2026431718061674
0.2321937321937322,0.22641071875585148,0.23138571995417387,0.2345132743362832
0.16559829059829057,0.170491168611669,0.1830255001654159,0.16740088105726872
0.1955128205128205,0.18591448275628564,0.19182771462507145,0.19383259911894274
0.20334757834757833,0.20162857494786243,0.2062263509543724,0.2026431718061674
0.23753561253561253,0.23280972627552052,0.23609445498212017,0.23788546255506607
0.18126780626780625,0.17669209860114293,0.18300972626193868,0.18141592920353983
0.2272079772079772,0.22126252858947956,0.22591917993900373,0.2290748898678414
0.1492165242165242,0.15208847990499016,0.16504862266210668,0.14977973568281938
0.19836182336182334,0.19721974537770123,0.2046286892248486,0.19823788546255505
0.21082621082621084,0.2024210775484563,0.20810005376270205,0.21145374449339208
0.19943019943019943,0.19303077606674526,0.19718596878279332,0.19911504424778761
